Symbol,Security Name
TNTELE,TAMILNADU TELECOMMUNICATION LIMITED
TPHQ,TEAMO PRODUCTIONS HQ LIMITED
TRANSWIND,TRANSWIND INFRASTRUCTURES LIMITED
TREEHOUSE,TREE HOUSE EDUCATION & ACCESSORIES LIMITED
TRU,TRUCAP FINANCE LIMITED
TTL,T T LIMITED
TTML,TATA TELESERVICES (MAHARASHTRA) LIMITED
TVVISION,TV VISION LIMITED
UEL,UJAAS ENERGY LIMITED
UNIINFO,UNIINFO TELECOM SERVICES LIMITED
UNIMECH,UNIMECH AEROSPACE AND MANUFACTURING LIMITED
UNITECH,UNITECH LIMITED
UNIVAFOODS,UNIVA FOODS LIMITED
UNIVPHOTO,UNIVERSUS PHOTO IMAGINGS LIMITED
URAVIDEF,URAVI DEFENCE AND TECHNOLOGY LIMITED
USASEEDS,UPSURGE SEEDS OF AGRICULTURE LIMITED
UWCSL,ULTRA WIRING CONNECTIVITY SYSTEM LIMITED
VAKRANGEE,VAKRANGEE LIMITED
VALIANTORG,VALIANT ORGANICS LIMITED
VASA,VASA RETAIL AND OVERSEAS LTD
VASWANI,VASWANI INDUSTRIES LIMITED
VCL,VAXTEX COTFAB LIMITED
VEEKAYEM,VEEKAYEM FASHION AND APPARELS LIMITED
VELS,VELS FILM INTERNATIONAL LIMITED
VENUSREM,VENUS REMEDIES LIMITED
VERA,VERA SYNTHETIC LIMITED
VERITAAS,VERITAAS ADVERTISING LIMITED
VERTEXPLUS,VERTEXPLUS TECHNOLOGIES LIMITED
VHLTD,VICEROY HOTELS LIMITED
VIAZ,VIAZ TYRES LIMITED
VIGOR,VIGOR PLAST INDIA LIMITED
VIJIFIN,VIJI FINANCE LIMITED
VILAS,VILAS TRANSCORE LIMITED
VILINBIO,VILIN BIO MED LIMITED
VINEETLAB,VINEET LABORATORIES LIMITED
VIPULLTD,VIPUL LIMITED
VIRINCHI,VIRINCHI LIMITED
VISAKAIND,VISAKA INDUSTRIES LIMITED
VISAMAN,VISAMAN GLOBAL SALES LIMITED
VITAL,VITAL CHEMTECH LIMITED
VIVIANA,VIVIANA POWER TECH LIMITED
VIVO,VIVO COLLABORATION SOLUTIONS LIMITED
VLEGOV,VL E GOVERNANCE & IT SOLUTIONS LIMITED
VMARCIND,V MARC INDIA LIMITED
VSCL,VADIVARHE SPECIALITY CHEMICALS LIMITED
WAAREEINDO,INDOSOLAR LIMITED
WALCHANNAG,WALCHANDNAGAR INDUSTRIES LIMITED
WALPAR,WALPAR NUTRITIONS LIMITED
WINNY,WINNY IMMIGRATION & EDUCATION SERVICES LIMITED
WTICAB,WISE TRAVEL INDIA LIMITED
YAARI,YAARI DIGITAL INTEGRATED SERVICES LIMITED
YASHOPTICS,YASH OPTICS & LENS LIMITED
YUDIZ,YUDIZ SOLUTIONS LIMITED
ZEELEARN,ZEE LEARN LIMITED
ZENITHEXPO,ZENITH EXPORTS LIMITED
ZENITHSTL,ZENITH STEEL PIPES & INDUSTRIES LIMITED
ZENTEC,ZEN TECHNOLOGIES LIMITED
ZODIAC,ZODIAC ENERGY LIMITED
ZUARI,ZUARI AGRO CHEMICALS LIMITED
AADHARHFC,AADHAR HOUSING FINANCE LIMITED
ABDL,ALLIED BLENDERS AND DISTILLERS LIMITED
ACMESOLAR,ACME SOLAR HOLDINGS LIMITED
ADL,ARCHIDPLY DECOR LIMITED
AEGISVOPAK,AEGIS VOPAK TERMINALS LIMITED
AFFORDABLE,AFFORDABLE ROBOTIC & AUTOMATION LIMITED
AJAXENGG,AJAX ENGINEERING LIMITED
AKSHAR,AKSHAR SPINTEX LIMITED
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED
AKUMS,AKUMS DRUGS AND PHARMACEUTICALS LIMITED
ANIKINDS,ANIK INDUSTRIES LIMITED
ANTGRAPHIC,ANTARCTICA LIMITED
APOLLO,APOLLO MICRO SYSTEMS LIMITED
ARISTO,ARISTO BIO-TECH AND LIFESCIENCE LIMITED
ASKAUTOLTD,ASK AUTOMOTIVE LIMITED
ASMS,BARTRONICS INDIA LIMITED
ASPIRE,ASPIRE & INNOVATIVE ADVERTISING LIMITED
AVROIND,AVRO INDIA LIMITED
AYMSYNTEX,AYM SYNTEX LIMITED
BAGFILMS,B.A.G FILMS AND MEDIA LIMITED
BAJAJHFL,BAJAJ HOUSING FINANCE LIMITED
BALAJITELE,BALAJI TELEFILMS LIMITED
BANG,BANG OVERSEAS LIMITED
BANSALWIRE,BANSAL WIRE INDUSTRIES LIMITED
BAWEJA,BAWEJA STUDIOS LIMITED
BIL,BHARTIYA INTERNATIONAL LIMITED
BILVYAPAR,BIL VYAPAR LIMITED
BYKE,THE BYKE HOSPITALITY LTD
CEIGALL,CEIGALL INDIA LIMITED
CELLECOR,CELLECOR GADGETS LIMITED
CENTUM,CENTUM ELECTRONICS LIMITED
CINELINE,CINELINE INDIA LIMITED
CREATIVEYE,CREATIVE EYE LIMITED
CRIZAC,CRIZAC LIMITED
DCG,DCG CABLES & WIRES LIMITED
DHTL,DOCMODE HEALTH TECHNOLOGIES LIMITED
DIACABS,DIAMOND POWER INFRASTRUCTURE LIMITED
DIL,DEBOCK INDUSTRIES LIMITED
DOLPHIN,DOLPHIN OFFSHORE ENTERPRISES (INDIA) LIMITED
DPEL,DIVINE POWER ENERGY LIMITED
DRONE,DRONE DESTINATION LIMITED
DYNAMIC,DYNAMIC SERVICES & SECURITY LIMITED
EBGNG,GNG ELECTRONICS LIMITED
ELLEN,ELLENBARRIE INDUSTRIAL GASES LIMITED
EMCURE,EMCURE PHARMACEUTICALS LIMITED
EMMIL,ENERGY MISSION MACHINERIES (INDIA) LIMITED
EUROTEXIND,EUROTEX INDUSTRIES AND EXPORTS LIMITED
FELIX,FELIX INDUSTRIES LIMITED
FLAIR,FLAIR WRITING INDUSTRIES LIMITED
FOCUS,FOCUS LIGHTING AND FIXTURES LIMITED
GANESHIN,GANESH INFRAWORLD LIMITED
GATECH,GACM TECHNOLOGIES LIMITED
GENUSPOWER,GENUS POWER INFRASTRUCTURES LIMITED
GIRIRAJ,GIRIRAJ CIVIL DEVELOPERS LIMITED
GLOBALE,GLOBALE TESSILE LIMITED
GLOBE,GLOBE TEXTILES (INDIA) LIMITED
GOPAL,GOPAL SNACKS LIMITED
GRCL,GAYATRI RUBBERS AND CHEMICALS LIMITED
GRSE,GARDEN REACH SHIPBUILDERS & ENGINEERS LIMITED
GUJRAFFIA,GUJARAT RAFFIA INDUSTRIES LIMITED
GVPTECH,GVP INFOTECH LIMITED
GVPTECHPP,GVP INFOTECH LIMITED
HAPPYFORGE,HAPPY FORGINGS LIMITED
HEADSUP,HEADS UP VENTURES LIMITED
HERCULES,HERCULES HOISTS LIMITED
HEXATRADEX,HEXA TRADEX LIMITED
HMAAGRO,HMA AGRO INDUSTRIES LIMITED
HPTL,HP TELECOM INDIA LIMITED
HYBRIDFIN,HYBRID FINANCIAL SERVICES LIMITED
HYUNDAI,HYUNDAI MOTOR INDIA LIMITED
IFCI,IFCI LIMITED
IGIL,INTERNATIONAL GEMMOLOGICAL INSTITUTE (INDIA) LIMITED
IITL,INDUSTRIAL INVESTMENT TRUST LIMITED
INDIACEM,THE INDIA CEMENTS LIMITED
INDOUS,INDO US BIOTECH LIMITED
INFOBEAN,INFOBEANS TECHNO. LTD.
INM,INTERIORS & MORE LIMITED
ISHAN,ISHAN INTERNATIONAL LIMITED
ITI,ITI LIMITED
JAICORPLTD,JAI CORP LIMITED
JAYNECOIND,JAYASWAL NECO INDUSTRIES LIMITED
JEYYAM,JEYYAM GLOBAL FOODS LIMITED
JHS,JHS SVENDGAARD LABORATORIES LIMITED
JINDALPHOT,JINDAL PHOTO LIMITED
JITFINFRA,JITF INFRALOGISTICS LIMITED
JNKINDIA,JNK INDIA LIMITED
JPOLYINVST,JINDAL POLY INVESTMENT AND FINANCE COMPANY LIMITED
JSWINFRA,JSW INFRASTRUCTURE LIMITED
JUNIPER,JUNIPER HOTELS LIMITED
KALPATARU,KALPATARU LIMITED
KALYANIFRG,KALYANI FORGE LIMITED
KAMOPAINTS,KAMDHENU VENTURES LIMITED
KANANIIND,KANANI INDUSTRIES LIMITED
KANPRPLA,KANPUR PLASTIPACK LIMITED
KARNIKA,KARNIKA INDUSTRIES LIMITED
KEN,KEN ENTERPRISES LIMITED
KEYFINSERV,KEYNOTE FINANCIAL SERVICES LIMITED
KONSTELEC,KONSTELEC ENGINEERS LIMITED
KONTOR,KONTOR SPACE LIMITED
LASA,LASA SUPERGENERICS LIMITED
LATTEYS,LATTEYS INDUSTRIES LIMITED
LEMERITE,LE MERITE EXPORTS LIMITED
LEXUS,LEXUS GRANITO (INDIA) LIMITED
LOKESHMACH,LOKESH MACHINES LIMITED
LOTUSDEV,SRI LOTUS DEVELOPERS AND REALTY LIMITED
LPDC,LANDMARK PROPERTY DEVELOPMENT COMPANY LIMITED
LUMAXTECH,LUMAX AUTO TECHNOLOGIES LIMITED
MACPOWER,MACPOWER CNC MACHINES LIMITED
MAHASTEEL,MAHAMAYA STEEL INDUSTRIES LIMITED
MAKS,MAKS ENERGY SOLUTIONS INDIA LIMITED
MASKINVEST,MASK INVESTMENTS LIMITED
MCLEODRUSS,MCLEOD RUSSEL INDIA LIMITED
MICEL,MIC ELECTRONICS LIMITED
MMTC,MMTC LIMITED
MODIRUBBER,MODI RUBBER LIMITED
MONOPHARMA,MONO PHARMACARE LIMITED
MOSCHIP,MOSCHIP TECHNOLOGIES LIMITED
MSPL,MSP STEEL & POWER LIMITED
MYMUDRA,MY MUDRA FINCORP LIMITED
NAGREEKCAP,NAGREEKA CAPITAL & INFRASTRUCTURE LIMITED
NAHARPOLY,NAHAR POLY FILMS LIMITED
NAMAN,NAMAN IN-STORE (INDIA) LIMITED
NARMADA,NARMADA AGROBASE LIMITED
NEXTMEDIA,NEXT MEDIAWORKS LIMITED
NGLFINE,NGL FINE-CHEM LIMITED
NIBL,NRB INDUSTRIAL BEARINGS LIMITED
NILASPACES,NILA SPACES LIMITED
NITCO,NITCO LIMITED
NITIRAJ,NITIRAJ ENGINEERS LIMITED
NKIND,NK INDUSTRIES LIMITED
ONYX,ONYX BIOTEC LIMITED
ORCHPHARMA,ORCHID PHARMA LIMITED
OSWALPUMPS,OSWAL PUMPS LIMITED
PANACHE,PANACHE DIGILIFE LIMITED
PARAS,PARAS DEFENCE AND SPACE TECHNOLOGIES LIMITED
PARASPETRO,PARAS PETROFILS LIMITED
PASHUPATI,PASHUPATI COTSPIN LIMITED
PASUPTAC,PASUPATI ACRYLON LIMITED
PNGJL,P N GADGIL JEWELLERS LIMITED
PRABHA,PRABHA ENERGY LIMITED
PRECAM,PRECISION CAMSHAFTS LIMITED
PRITIKA,PRITIKA ENGINEERING COMPONENTS LIMITED
PROSTARM,PROSTARM INFO SYSTEMS LIMITED
PRUDMOULI,PRUDENTIAL SUGAR CORPORATION LIMITED
PULZ,PULZ ELECTRONICS LIMITED
RETAIL,JHS SVENDGAARD RETAIL VENTURES LIMITED
RICOAUTO,RICO AUTO INDUSTRIES LIMITED
RILINFRA,RACHANA INFRASTRUCTURE LIMITED
ROCKINGDCE,ROCKINGDEALS CIRCULAR ECONOMY LIMITED
ROSSELLIND,ROSSELL INDIA LIMITED
RULKA,RULKA ELECTRICALS LIMITED
RUSTOMJEE,KEYSTONE REALTORS LIMITED
SAHAJSOLAR,SAHAJ SOLAR LIMITED
SAKUMA,SAKUMA EXPORTS LIMITED
SAMBHAAV,SAMBHAAV MEDIA LIMITED
SAMPANN,SAMPANN UTPADAN INDIA LIMITED
SANATHAN,SANATHAN TEXTILES LIMITED
SANGINITA,SANGINITA CHEMICALS LIMITED
SATECH,S A TECH SOFTWARE INDIA LIMITED
SBGLP,SURATWWALA BUSINESS GROUP LIMITED
SEL,SUNGARNER ENERGIES LIMITED
SENCO,SENCO GOLD LIMITED
SHREEJISPG,SHREEJI SHIPPING GLOBAL LIMITED
SHRENIK,SHRENIK LIMITED
SMVD,SMVD POLY PACK LIMITED
SPCL,SHIVALIC POWER CONTROL LIMITED
STALLION,STALLION INDIA FLUOROCHEMICALS LIMITED
STEL,STEL HOLDINGS LIMITED
STLTECH,STERLITE TECHNOLOGIES LIMITED
STUDIOLSD,STUDIO LSD LIMITED
SURANAT&P,SURANA TELECOM AND POWER LIMITED
SVPGLOB,SVP GLOBAL TEXTILES LIMITED
TEMBO,TEMBO GLOBAL INDUSTRIES LIMITED
THELEELA,SCHLOSS BANGALORE LIMITED
TICL,TWAMEV CONSTRUCTION AND INFRASTRUCTURE LIMITED
TIRUPATIFL,TIRUPATI FORGE LIMITED
TRAVELFOOD,TRAVEL FOOD SERVICES LIMITED
TROM,TROM INDUSTRIES LIMITED
TRUST,TRUST FINTECH LIMITED
UMESLTD,USHA MARTIN EDUCATION & SOLUTIONS LIMITED
URBAN,URBAN ENVIRO WASTE MANAGEMENT LIMITED
V2RETAIL,V2 RETAIL LIMITED
VALIANTLAB,VALIANT LABORATORIES LIMITED
VENTIVE,VENTIVE HOSPITALITY LIMITED
VINNY,VINNY OVERSEAS LIMITED
VIPCLOTHNG,VIP CLOTHING LIMITED
WEBELSOLAR,WEBSOL ENERGY SYSTEM LIMITED
WEWIN,WE WIN LIMITED
XELPMOC,XELPMOC DESIGN AND TECH LIMITED
YATRA,YATRA ONLINE LIMITED
ZTECH,Z-TECH (INDIA) LIMITED
20MICRONS,20 MICRONS LIMITED
3IINFOLTD,3I INFOTECH LIMITED
3MINDIA,3M INDIA LIMITED
3PLAND,3P LAND HOLDINGS LIMITED
5PAISA,5PAISA CAPITAL LIMITED
63MOONS,63 MOONS TECHNOLOGIES LIMITED
AAATECH,AAA TECHNOLOGIES LIMITED
AAKAAR,AAKAAR MEDICAL TECHNOLOGIES LIMITED
AARADHYA,AARADHYA DISPOSAL INDUSTRIES LIMITED
AARON,AARON INDUSTRIES LIMITED
AARTIDRUGS,AARTI DRUGS LIMITED
AARTIIND,AARTI INDUSTRIES LIMITED
AARTIPHARM,AARTI PHARMALABS LIMITED
AARVI,AARVI ENCON LIMITED
AATMAJ,AATMAJ HEALTHCARE LIMITED
AAVAS,AAVAS FINANCIERS LIMITED
ABBOTINDIA,ABBOTT INDIA LIMITED
ABCOTS,A B COTSPIN INDIA LIMITED
ABFRL,ADITYA BIRLA FASHION AND RETAIL LIMITED
ABGSEC,ADITYABIRLASUNLIFEMF-ADITYA BIRLA SUN LIFE CRISIL BROAD BASED GILT ETF
ABLBL,ADITYA BIRLA LIFESTYLE BRANDS LIMITED
ABNINT,A B N INTERCORP LIMITED
ABREL,ADITYA BIRLA REAL ESTATE LIMITED
ABSLAMC,ADITYA BIRLA SUN LIFE AMC LIMITED
ABSLBANETF,ADITYA BIRLA SUN LIFE NIFTY BANK ETF
ABSLLIQUID,ADITYA BIRLA SUN LIFE CRISIL LIQUID OVERNIGHT ETF
ABSLNN50ET,ADITYA BIRLA SUN LIFE NIFTY NEXT 50 ETF
ABSLPSE,ADITYA BIRLA SUN LIFE MUTUAL FUND-ADITYA BIRLA SUN LIFE NIFTY PSE ETF
ABSMARINE,ABS MARINE SERVICES LIMITED
ACC,ACC LIMITED
ACCELYA,ACCELYA SOLUTIONS INDIA LIMITED
ACCPL,ACCRETION PHARMACEUTICALS LIMITED
ACCURACY,ACCURACY SHIPPING LIMITED
ACE,ACTION CONSTRUCTION EQUIPMENT LIMITED
ACEINTEG,ACE INTEGRATED SOLUTIONS LIMITED
ACI,ARCHEAN CHEMICAL INDUSTRIES LIMITED
ACLGATI,ALLCARGO GATI LIMITED
ACTIVEINFR,ACTIVE INFRASTRUCTURES LIMITED
ACUTAAS,ACUTAAS CHEMICALS LIMITED
ADANIPOWER,ADANI POWER LIMITED
ADFFOODS,ADF FOODS LIMITED
ADOR,ADOR WELDING LIMITED
ADROITINFO,ADROIT INFOTECH LIMITED
ADSL,ALLIED DIGITAL SERVICES LIMITED
ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LIMITED
ADVENZYMES,ADVANCED ENZYME TECHNOLOGIES LIMITED
AEGISLOG,AEGIS LOGISTICS LIMITED
AEROENTER,AEROFLEX ENTERPRISES LIMITED
AEROFLEX,AEROFLEX INDUSTRIES LIMITED
AERON,AERON COMPOSITE LIMITED
AERONEU,AEROFLEX NEU LIMITED
AETHER,AETHER INDUSTRIES LIMITED
AFCONS,AFCONS INFRASTRUCTURE LIMITED
AFFLE,AFFLE 3I LIMITED
AFIL,AKME FINTRADE (INDIA) LIMITED
AFSL,ABANS FINANCIAL SERVICES LIMITED
AGARIND,AGARWAL INDUSTRIAL CORPORATION LIMITED
AGARWALEYE,DR. AGARWAL'S HEALTH CARE LIMITED
AGARWALTUF,AGARWAL TOUGHENED GLASS INDIA LIMITED
AGI,AGI GREENPAC LIMITED
AGIIL,AGI INFRA LIMITED
AGRITECH,AGRI-TECH (INDIA) LIMITED
AHLADA,AHLADA ENGINEERS LIMITED
AHLEAST,ASIAN HOTELS (EAST) LIMITED
AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LIMITED
AIAENG,AIA ENGINEERING LIMITED
AIIL,AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED
AIMTRON,AIMTRON ELECTRONICS LIMITED
AIRAN,AIRAN LIMITED
AIROLAM,AIRO LAM LIMITED
AJANTPHARM,AJANTA PHARMA LIMITED
AJMERA,AJMERA REALTY & INFRA INDIA LIMITED
AJOONI,AJOONI BIOTECH LIMITED
AKASH,AKASH INFRA PROJECTS LIMITED
AKG,AKG EXIM LIMITED
AKSHARCHEM,AKSHARCHEM INDIA LIMITED
AKZOINDIA,AKZO NOBEL INDIA LIMITED
ALANKIT,ALANKIT LIMITED
ALBERTDAVD,ALBERT DAVID LIMITED
ALEMBICLTD,ALEMBIC LIMITED
ALICON,ALICON CASTALLOY LIMITED
ALIVUS,ALIVUS LIFE SCIENCES LIMITED
ALKALI,ALKALI METALS LIMITED
ALKYLAMINE,ALKYL AMINES CHEMICALS LIMITED
ALLCARGO,ALLCARGO LOGISTICS LIMITED
ALLDIGI,ALLDIGI TECH LIMITED
ALLETEC,ALL E TECHNOLOGIES LIMITED
ALLTIME,ALL TIME PLASTICS LIMITED
ALMONDZ,ALMONDZ GLOBAL SECURITIES LIMITED
ALOKINDS,ALOK INDUSTRIES LIMITED
ALPA,ALPA LABORATORIES LIMITED
ALPEXSOLAR,ALPEX SOLAR LIMITED
ALPHA,KOTAK MAHINDRA MUTUAL FUND - KOTAK NIFTY ALPHA 50 ETF
ALPHAETF,MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY 200 ALPHA 30 ETF
ALPHAGEO,ALPHAGEO (INDIA) LIMITED
ALPL30IETF,ICICI PRUDENTIAL NIFTY ALPHA LOW VOLATILITY 30 ETF
AMBEY,AMBEY LABORATORIES LIMITED
AMBICAAGAR,AMBICA AGARBATHIES & AROMA INDUSTRIES LIMITED
AMBIKCO,AMBIKA COTTON MILLS LIMITED
AMCL,ANB METAL CAST LIMITED
AMDIND,AMD INDUSTRIES LIMITED
AMIABLE,AMIABLE LOGISTICS (INDIA) LIMITED
AMJLAND,AMJ LAND HOLDINGS LIMITED
AMNPLST,AMINES & PLASTICIZERS LIMITED
AMRUTANJAN,AMRUTANJAN HEALTH CARE LIMITED
ANANDRATHI,ANAND RATHI WEALTH LIMITED
ANANTRAJ,ANANT RAJ LIMITED
ANDHRAPAP,ANDHRA PAPER LIMITED
ANDHRSUGAR,THE ANDHRA SUGARS LIMITED
ANMOL,ANMOL INDIA LIMITED
ANNAPURNA,ANNAPURNA SWADISHT LIMITED
ANONDITA,ANONDITA MEDICARE LIMITED
ANTHEM,ANTHEM BIOSCIENCES LIMITED
ANUHPHR,ANUH PHARMA LIMITED
ANUP,THE ANUP ENGINEERING LIMITED
ANURAS,ANUPAM RASAYAN INDIA LIMITED
ANURAS,ANUPAM RASAYAN INDIA LIMITED
ANYA,ANYA POLYTECH & FERTILIZERS LIMITED
ANZEN,ANZEN INDIA ENERGY YIELD PLUS TRUST
AONEGOLD,ANGEL ONE MUTUAL FUND - ANGEL ONE GOLD ETF
AONELIQUID,ANGEL ONE MUTUAL FUND - ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH
AONENIFTY,ANGEL ONE MUTUAL FUND - ANGEL ONE NIFTY 50 ETF
AONETOTAL,ANGEL ONE MUTUAL FUND - ANGEL ONE NIFTY TOTAL MARKET ETF
APARINDS,APAR INDUSTRIES LIMITED
APCOTEXIND,APCOTEX INDUSTRIES LIMITED
APEX,APEX FROZEN FOODS LIMITED
APEXECO,APEX ECOTECH LIMITED
APLLTD,ALEMBIC PHARMACEUTICALS LIMITED
APOLLOPIPE,APOLLO PIPES LIMITED
APOLLOTYRE,APOLLO TYRES LIMITED
APOLSINHOT,APOLLO SINDOORI HOTELS LIMITED
APRAMEYA,APRAMEYA ENGINEERING LIMITED
APTECHT,APTECH LIMITED
APTUS,APTUS VALUE HOUSING FINANCE INDIA LIMITED
ARABIAN,ARABIAN PETROLEUM LIMITED
ARCHIDPLY,ARCHIDPLY INDUSTRIES LIMITED
ARCIIL,ARC INSULATION & INSULATORS LIMITED
ARE&M,AMARA RAJA ENERGY & MOBILITY LIMITED
ARHAM,ARHAM TECHNOLOGIES LIMITED
ARIES,ARIES AGRO LIMITED
ARIHANTACA,ARIHANT ACADEMY LIMITED
ARIHANTCAP,ARIHANT CAPITAL MARKETS LIMITED
ARIHANTSUP,ARIHANT SUPERSTRUCTURES LIMITED
ARISINFRA,ARISINFRA SOLUTIONS LIMITED
ARKADE,ARKADE DEVELOPERS LIMITED
ARMANFIN,ARMAN FINANCIAL SERVICES LIMITED
AROGRANITE,ARO GRANITE INDUSTRIES LIMITED
ARROWGREEN,ARROW GREENTECH LIMITED
ARTEMISMED,ARTEMIS MEDICARE SERVICES LIMITED
ARVIND,ARVIND LIMITED
ARVINDFASN,ARVIND FASHIONS LIMITED
ARVSMART,ARVIND SMARTSPACES LIMITED
ASAHIINDIA,ASAHI INDIA GLASS LIMITED
ASAHISONG,ASAHI SONGWON COLORS LIMITED
ASAL,AUTOMOTIVE STAMPINGS AND ASSEMBLIES LIMITED
ASALCBR,ASSOCIATED ALCOHOLS & BREWERIES LTD.
ASHALOG,ASHAPURA LOGISTICS LIMITED
ASHAPURMIN,ASHAPURA MINECHEM LIMITED
ASHIANA,ASHIANA HOUSING LIMITED
ASHIMASYN,ASHIMA LIMITED
ASHOKA,ASHOKA BUILDCON LIMITED
ASHOKAMET,ASHOKA METCAST LIMITED
ASIANENE,ASIAN ENERGY SERVICES LIMITED
ASPINWALL,ASPINWALL AND COMPANY LIMITED
ASTEC,ASTEC LIFESCIENCES LIMITED
ASTERDM,ASTER DM HEALTHCARE LIMITED
ASTRAMICRO,ASTRA MICROWAVE PRODUCTS LIMITED
ASTRAZEN,ASTRAZENECA PHARMA INDIA LIMITED
ATAM,ATAM VALVES LIMITED
ATCENERGY,ATC ENERGIES SYSTEM LIMITED
ATGL,ADANI TOTAL GAS LIMITED
ATHERENERG,ATHER ENERGY LIMITED
ATL,ALLCARGO TERMINALS LIMITED
ATLANTAA,ATLANTAA LIMITED
ATMASTCO,ATMASTCO LIMITED
ATUL,ATUL LIMITED
ATULAUTO,ATUL AUTO LIMITED
AURDIS,AURANGABAD DISTILLERY LIMITED
AURIONPRO,AURIONPRO SOLUTIONS LIMITED
AUROIMPEX,AURO IMPEX & CHEMICALS LIMITED
AURUM,AURUM PROPTECH LIMITED
AUTOAXLES,AUTOMOTIVE AXLES LIMITED
AUTOBEES,NIPPON INDIA MUTUAL FUND - NIPPON INDIA NIFTY AUTO ETF
AUTOIETF,ICICI PRUDENTIAL MUTUAL FUND - ICICI PRUDENTIAL  NIFTY AUTO ETF
AUTOIND,AUTOLINE INDUSTRIES LIMITED
AVADHSUGAR,AVADH SUGAR & ENERGY LIMITED
AVALON,AVALON TECHNOLOGIES LIMITED
AVANTEL,AVANTEL LIMITED
AVANTIFEED,AVANTI FEEDS LIMITED
AVG,AVG LOGISTICS LIMITED
AVIANSH,AVI ANSH TEXTILE LIMITED
AVL,ADITYA VISION LIMITED
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES  LIMITED
AVPINFRA,AVP INFRACON LIMITED
AVTNPL,AVT NATURAL PRODUCTS LIMITED
AWFIS,AWFIS SPACE SOLUTIONS LIMITED
AWHCL,ANTONY WASTE HANDLING CELL LIMITED
AWL,AWL AGRI BUSINESS LIMITED
AXISBNKETF,AXIS MUTUAL FUND - AXIS NIFTY BANK ETF
AXISBPSETF,AXIS MUTUAL FUND - AXIS NIFTY AAA BOND PLUS SDL APR 2026 50-50 ETF
AXISCETF,AXIS MUTUAL FUND - AXIS NIFTY INDIA CONSUMPTION ETF
AXISGOLD,AXIS MUTUAL FUND - AXIS GOLD ETF
AXISHCETF,AXIS MUTUAL FUND - AXIS NIFTY HEALTHCARE ETF
AXISILVER,AXIS MUTUAL FUND - AXIS SILVER ETF
AXISNIFTY,AXIS MUTUAL FUND - AXIS NIFTY 50 ETF
AXISTECETF,AXIS MUTUAL FUND - AXIS NIFTY IT ETF
AXISVALUE,AXIS MUTUAL FUND - AXIS NIFTY500 VALUE 50 ETF
AXITA,AXITA COTTON LIMITED
AXSENSEX,AXIS MUTUAL FUND - AXIS S&P BSE SENSEX ETF
AZAD,AZAD ENGINEERING LIMITED
BABAFP,BABA FOOD PROCESSING (INDIA) LIMITED
BAHETI,BAHETI RECYCLING INDUSTRIES LIMITED
BAIDFIN,BAID FINSERV LIMITED
BAJAJCON,BAJAJ CONSUMER CARE LIMITED
BAJAJELEC,BAJAJ ELECTRICALS LIMITED
BAJAJHCARE,BAJAJ HEALTHCARE LIMITED
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LIMITED
BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LIMITED
BALAJEE,SHREE TIRUPATI BALAJEE AGRO TRADING COMPANY LIMITED
BALAMINES,BALAJI AMINES LIMITED
BALAXI,BALAXI PHARMACEUTICALS LIMITED
BALKRISHNA,BALKRISHNA PAPER MILLS LIMITED
BALKRISIND,BALKRISHNA INDUSTRIES LIMITED
BALMLAWRIE,BALMER LAWRIE & COMPANY LIMITED
BALPHARMA,BAL PHARMA LIMITED
BALRAMCHIN,BALRAMPUR CHINI MILLS LIMITED
BANARBEADS,BANARAS BEADS LIMITED
BANARISUG,BANNARI AMMAN SUGARS LIMITED
BANCOINDIA,BANCO PRODUCTS (I) LIMITED
BANKBEES,NIPPON INDIA ETF NIFTY BANK BEES
BANKBETF,BAJAJ FINSERV MUTUAL FUND - BAJAJ FINSERV NIFTY BANK ETF
BANKETF,MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY BANK ETF
BANKETFADD,DSP  MUTUAL FUND - DSP NIFTY BANK ETF
BANKIETF,ICICI PRUDENTIAL NIFTY BANK ETF - NIFTY BANK INDEX
BANKNIFTY1,KOTAK NIFTY BANK ETF
BANKPSU,MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY PSU BANK ETF
BANSWRAS,BANSWARA SYNTEX LIMITED
BARBEQUE,BARBEQUE NATION HOSPITALITY LIMITED
BASF,BASF INDIA LIMITED
BASML,BANNARI AMMAN SPINNING MILLS LIMITED
BATAINDIA,BATA INDIA LIMITED
BAYERCROP,BAYER CROPSCIENCE LIMITED
BBETF0432,EDELWEISS MUTUAL FUND - BHARAT BOND ETF - APRIL 2032 - GROWTH
BBL,BHARAT BIJLEE LIMITED
BBNPNBETF,BARODA BNP PARIBAS MUTUAL FUND- BARODA BNP PARIBAS NIFTY BANK ETF
BBNPPGOLD,BARODA BNP PARIBAS MUTUAL FUND - BARODA BNP PARIBAS GOLD ETF
